Condition,Date,Correlation
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.824710700529763
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.7631645581481861
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.827319313332127
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.832621651159863
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.7903213615348763
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.7989244832766678
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8819023783019494
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.9160236669740977
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.801817056109371
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.9061786905990761
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8427494665904364
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.854517128107267
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8731261654927085
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.9354622284780149
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8147431700112833
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8449209096595599
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.7659248134823863
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8473322926136889
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.588563715949279
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8159225011094912
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8268732227356234
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8882575720976997
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8858941856176294
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.7648400184185087
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8154952193947009
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8804601899892198
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.7810294774994087
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8842622417715456
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8217672132199002
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.9149185071392547
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8960899156451453
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8015370338782798
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.9132174704413099
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8872463765857186
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8637221250460135
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8512290593534753
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.9290718007248125
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8539774740061136
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.889618032981165
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8276080321584102
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.9461340968533509
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.877326089293635
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8445372996941722
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.9317571349493177
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8079853264856933
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8432044064300999
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.583330015773282
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.745740893563067
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.696179026065953
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8079055233024102
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8888198371077843
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.7565891139399675
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8731196901705917
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.6781003583516224
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8260180572844763
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.9088528801501826
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8222866764712666
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.878821635092631
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8342859140405154
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.8182561217247293
PerMn1-mNG | mTq2-FtsB_10_100,231005,0.7807568632306099
