	time (ns)	angle (degree)	average angle	angle standard deviation
181	181.000	16.041	14.552	2.026
182	182.000	13.107	14.662	1.901
183	183.000	11.333	14.743	1.872
184	184.000	14.944	14.897	1.822
185	185.000	14.116	15.055	1.877
186	186.000	12.758	15.052	1.876
187	187.000	12.805	14.981	1.832
188	188.000	16.395	14.801	1.966
189	189.000	15.826	14.590	1.986
190	190.000	15.178	14.440	1.941
191	191.000	12.224	14.250	1.784
192	192.000	11.810	14.187	1.731
193	193.000	14.679	14.092	1.736
194	194.000	13.857	14.085	1.728
195	195.000	15.072	14.062	1.745
196	196.000	16.156	14.073	1.728
197	197.000	17.575	13.956	1.765
198	198.000	15.676	13.983	1.773
199	199.000	15.228	14.044	1.755
200	200.000	11.277	14.046	1.754
201	201.000	11.875	13.772	1.900
202	202.000	13.219	13.619	1.882
203	203.000	13.445	13.456	1.917
204	204.000	14.820	13.389	1.990
205	205.000	12.878	13.239	2.239
206	206.000	15.871	13.089	2.264
207	207.000	12.530	13.071	2.260
208	208.000	11.615	12.968	2.223
209	209.000	12.014	12.881	2.134
210	210.000	14.802	12.704	1.899
211	211.000	14.279	12.623	1.807
212	212.000	12.853	12.494	1.727
213	213.000	9.554	12.494	1.727
214	214.000	11.993	12.490	1.729
215	215.000	11.105	12.481	1.726
216	216.000	10.542	12.470	1.720
217	217.000	8.066	12.392	1.652
218	218.000	10.931	12.459	1.705
219	219.000	13.396	12.289	1.556
220	220.000	12.507	12.230	1.574
221	221.000	13.972	12.221	1.579
222	222.000	13.148	12.130	1.654
223	223.000	13.647	11.865	1.738
224	224.000	12.013	11.749	1.666
225	225.000	11.276	11.679	1.654
226	226.000	11.764	11.683	1.648
227	227.000	13.012	11.663	1.648
228	228.000	13.171	11.575	1.735
229	229.000	12.857	11.429	1.963
230	230.000	14.548	11.446	1.935
231	231.000	11.623	11.398	1.963
232	232.000	11.061	11.217	1.979
233	233.000	11.388	11.119	1.973
234	234.000	9.753	11.083	1.926
235	235.000	8.161	10.856	2.005
236	236.000	11.379	10.631	1.994
237	237.000	11.113	10.482	2.026
238	238.000	9.656	10.444	2.019
239	239.000	11.481	10.323	2.027
240	240.000	8.905	10.200	1.949
241	241.000	6.902	10.145	1.879
242	242.000	8.490	10.017	1.794
243	243.000	9.716	9.844	1.527
244	244.000	8.887	9.846	1.531
245	245.000	10.064	9.936	1.665
246	246.000	13.062	9.890	1.639
247	247.000	7.473	9.980	1.691
248	248.000	8.031	10.165	1.737
249	249.000	8.280	10.295	1.940
250	250.000	10.319	10.242	1.935
251	251.000	8.751	10.124	2.058
252	252.000	9.931	10.055	2.039
253	253.000	11.786	10.227	2.118
254	254.000	9.670	10.373	2.002
255	255.000	10.207	10.492	1.973
256	256.000	11.697	10.592	1.996
257	257.000	13.304	10.788	2.060
258	258.000	10.245	10.973	2.196
259	259.000	11.985	10.975	2.198
260	260.000	12.793	11.182	2.096
261	261.000	14.625	11.315	1.991
262	262.000	9.793	11.363	1.927
263	263.000	6.714	11.346	1.939
264	264.000	9.750	11.404	1.879
265	265.000	13.199	11.457	1.854
266	266.000	10.563	11.426	1.855
267	267.000	11.449	11.290	2.097
268	268.000	12.234	11.334	2.084
269	269.000	13.775	11.284	2.090
270	270.000	14.700	11.251	2.063
271	271.000	13.105	11.525	2.359
272	272.000	12.656	11.696	2.541
273	273.000	11.341	11.770	2.601
274	274.000	9.492	11.722	2.557
275	275.000	9.885	11.933	2.608
276	276.000	10.195	12.109	2.380
277	277.000	11.266	12.122	2.367
278	278.000	11.004	11.955	2.435
279	279.000	6.284	11.948	2.440
280	280.000	11.294	11.881	2.476
281	281.000	10.460	11.809	2.492
282	282.000	12.458	11.696	2.463
283	283.000	17.114	11.521	2.395
284	284.000	16.244	11.394	2.392
285	285.000	14.660	11.373	2.383
286	286.000	13.417	11.305	2.407
287	287.000	15.076	11.335	2.388
288	288.000	11.099	11.350	2.380
289	289.000	10.093	11.351	2.380
290	290.000	9.001	11.308	2.391
291	291.000	10.398	11.354	2.396
292	292.000	9.783	11.561	2.151
293	293.000	10.436	11.659	2.194
294	294.000	10.930	11.735	2.184
295	295.000	10.326	11.814	2.245
296	296.000	9.928	11.747	2.101
297	297.000	12.129	11.705	2.017
298	298.000	9.660	11.636	1.940
299	299.000	10.225	11.562	1.904
300	300.000	10.271	11.505	1.814
301	301.000	10.209	11.582	1.836
302	302.000	10.197	11.726	1.856
303	303.000	12.167	11.878	1.777
304	304.000	11.440	11.909	1.756
305	305.000	13.756	12.001	1.700
306	306.000	12.359	12.115	1.686
307	307.000	14.426	12.165	1.668
308	308.000	15.439	12.271	1.630
309	309.000	15.205	12.436	1.590
310	310.000	12.941	12.477	1.595
311	311.000	11.567	12.609	1.485
312	312.000	13.652	12.859	1.590
313	313.000	13.006	13.054	1.558
314	314.000	13.712	13.287	1.551
315	315.000	12.779	13.463	1.431
316	316.000	11.192	13.564	1.425
317	317.000	12.074	13.735	1.415
318	318.000	13.287	13.766	1.425
319	319.000	12.169	13.881	1.422
320	320.000	12.995	13.989	1.561
321	321.000	14.031	14.020	1.598
322	322.000	13.163	14.022	1.599
323	323.000	12.949	14.144	1.630
324	324.000	16.478	14.254	1.539
325	325.000	15.149	14.212	1.571
326	326.000	16.043	14.169	1.619
327	327.000	14.586	14.237	1.634
328	328.000	14.703	14.327	1.613
329	329.000	15.703	14.505	1.493
330	330.000	14.551	14.589	1.408
331	331.000	15.228	14.687	1.399
332	332.000	17.128	14.816	1.302
333	333.000	16.213	14.878	1.248
334	334.000	15.244	14.916	1.236
335	335.000	16.008	14.915	1.237
336	336.000	14.314	14.851	1.376
337	337.000	12.600	14.531	1.837
338	338.000	11.931	14.311	2.075
339	339.000	15.405	14.085	2.182
340	340.000	15.040	13.942	2.264
341	341.000	15.637	13.781	2.349
342	342.000	14.163	13.551	2.432
343	343.000	15.754	13.348	2.554
344	344.000	15.393	13.166	2.577
345	345.000	14.535	12.865	2.534
346	346.000	14.983	12.692	2.442
347	347.000	13.145	12.541	2.394
348	348.000	11.350	12.443	2.294
349	349.000	8.466	12.301	2.284
350	350.000	9.642	12.401	2.351
351	351.000	10.402	12.464	2.359
352	352.000	11.017	12.406	2.301
353	353.000	10.666	12.303	2.234
354	354.000	9.969	12.193	2.129
355	355.000	9.474	12.107	2.089
356	356.000	10.670	11.934	1.949
357	357.000	9.602	11.746	1.824
358	358.000	11.897	11.676	1.744
359	359.000	11.467	11.668	1.728
360	360.000	13.562	11.624	1.703
361	361.000	10.752	11.709	1.741
362	362.000	15.094	11.979	1.740
363	363.000	13.521	12.283	1.965
364	364.000	13.945	12.430	1.956
365	365.000	12.462	12.626	2.052
366	366.000	12.888	12.804	2.068
367	367.000	12.007	13.083	2.139
368	368.000	11.430	13.365	2.108
369	369.000	10.696	13.455	2.035
370	370.000	12.792	13.651	1.879
371	371.000	14.773	13.818	1.901
