	time (ns)	angle (degree)	average angle	angle standard deviation
181	681.000	12.641	11.364	2.722
182	682.000	11.177	11.549	2.777
183	683.000	11.195	11.802	2.890
184	684.000	13.291	12.084	3.101
185	685.000	16.790	12.143	3.146
186	686.000	14.511	12.371	3.277
187	687.000	14.401	12.487	3.349
188	688.000	10.179	12.740	3.318
189	689.000	9.432	13.095	3.197
190	690.000	8.635	13.563	3.237
191	691.000	14.462	13.950	3.077
192	692.000	14.261	14.317	2.784
193	693.000	15.278	14.576	2.729
194	694.000	14.560	14.786	2.776
195	695.000	16.048	15.168	2.911
196	696.000	17.622	15.562	3.016
197	697.000	15.117	15.808	3.073
198	698.000	16.884	16.000	3.280
199	699.000	15.862	16.207	3.345
200	700.000	15.386	16.368	3.352
201	701.000	16.287	16.763	3.169
202	702.000	19.445	17.145	2.803
203	703.000	17.336	17.586	2.213
204	704.000	16.482	17.821	2.179
205	705.000	17.108	17.828	2.167
206	706.000	17.911	17.813	2.187
207	707.000	20.704	17.764	2.274
208	708.000	21.061	17.762	2.276
209	709.000	19.424	17.584	2.454
210	710.000	21.599	17.648	2.407
211	711.000	19.691	17.538	2.505
212	712.000	18.431	17.462	2.585
213	713.000	20.057	17.297	2.841
214	714.000	18.961	17.017	3.261
215	715.000	19.663	16.677	3.435
216	716.000	20.335	16.453	3.570
217	717.000	14.443	16.331	3.621
218	718.000	14.901	16.220	3.639
219	719.000	13.351	16.122	3.624
220	720.000	15.978	15.790	3.567
221	721.000	13.175	15.501	3.411
222	722.000	16.725	15.361	3.314
223	723.000	14.124	15.041	3.063
224	724.000	13.973	14.774	2.929
225	725.000	11.268	14.410	3.020
226	726.000	9.267	13.991	2.929
227	727.000	10.953	13.699	2.772
228	728.000	11.742	13.472	2.480
229	729.000	13.436	13.096	2.077
230	730.000	14.321	12.966	2.090
231	731.000	15.458	12.794	2.102
232	732.000	12.401	12.716	2.116
233	733.000	13.840	12.630	2.020
234	734.000	15.942	12.797	2.228
235	735.000	13.594	12.762	2.170
236	736.000	13.011	12.807	2.211
237	737.000	9.324	12.806	2.210
238	738.000	9.592	12.884	2.188
239	739.000	11.668	13.063	2.059
240	740.000	13.985	13.186	2.019
241	741.000	10.929	13.293	2.010
242	742.000	11.201	13.204	2.052
243	743.000	10.589	13.183	2.043
244	744.000	11.407	13.119	1.993
245	745.000	13.835	13.232	2.030
246	746.000	17.344	13.325	2.110
247	747.000	15.856	13.172	2.050
248	748.000	15.245	13.146	2.049
249	749.000	13.944	13.162	2.049
250	750.000	13.220	13.342	1.889
251	751.000	13.734	13.508	1.721
252	752.000	14.035	13.653	1.712
253	753.000	14.420	13.628	1.712
254	754.000	11.213	13.723	1.619
255	755.000	13.787	13.751	1.579
256	756.000	13.862	13.713	1.667
257	757.000	15.226	13.665	1.752
258	758.000	16.151	13.516	1.890
259	759.000	12.139	13.176	1.937
260	760.000	12.922	12.904	2.019
261	761.000	13.431	12.685	2.052
262	762.000	13.807	12.459	2.213
263	763.000	13.744	12.289	2.313
264	764.000	15.298	12.056	2.450
265	765.000	13.363	11.911	2.435
266	766.000	13.301	11.708	2.429
267	767.000	11.900	11.808	2.459
268	768.000	9.645	11.781	2.440
269	769.000	10.201	11.688	2.401
270	770.000	10.109	11.472	2.311
271	771.000	8.836	11.316	2.104
272	772.000	9.078	11.315	2.104
273	773.000	9.755	11.219	2.082
274	774.000	8.289	11.065	2.054
275	775.000	8.971	10.885	2.000
