	time (ns)	angle (degree)	average angle	angle standard deviation
181	681.000	4.479	5.038	2.272
182	682.000	6.242	4.780	1.913
183	683.000	3.022	4.571	1.607
184	684.000	4.483	4.457	1.361
185	685.000	4.030	4.528	1.476
186	686.000	4.646	4.554	1.497
187	687.000	6.826	4.619	1.620
188	688.000	3.082	4.846	1.950
189	689.000	2.835	4.930	2.046
190	690.000	5.759	5.050	2.080
191	691.000	3.013	5.205	2.135
192	692.000	3.634	5.549	2.230
193	693.000	3.615	5.737	2.182
194	694.000	4.481	5.773	2.168
195	695.000	4.549	5.848	2.217
196	696.000	6.146	6.079	2.211
197	697.000	7.577	6.183	2.194
198	698.000	6.057	6.400	2.240
199	699.000	8.215	6.619	2.328
200	700.000	10.061	6.682	2.355
201	701.000	8.114	6.973	2.341
202	702.000	7.054	7.181	2.183
203	703.000	7.795	7.198	2.173
204	704.000	10.251	7.305	2.019
205	705.000	7.447	7.487	1.874
206	706.000	5.378	7.655	1.692
207	707.000	8.131	7.690	1.632
208	708.000	8.787	7.724	1.571
209	709.000	7.087	7.716	1.581
210	710.000	9.457	7.668	1.603
211	711.000	10.133	7.686	1.586
212	712.000	8.387	7.580	1.638
213	713.000	10.359	7.323	1.733
214	714.000	8.027	7.211	1.770
215	715.000	6.200	7.167	1.787
216	716.000	5.681	7.154	1.784
217	717.000	8.185	7.069	1.677
218	718.000	7.815	7.074	1.679
219	719.000	5.358	7.065	1.689
220	720.000	5.410	6.947	1.714
221	721.000	5.925	6.890	1.673
222	722.000	6.384	6.855	1.678
223	723.000	6.520	6.713	1.597
224	724.000	5.548	6.492	1.481
225	725.000	3.644	6.291	1.554
226	726.000	5.311	6.157	1.314
227	727.000	5.959	6.040	1.270
228	728.000	7.465	6.016	1.273
229	729.000	8.125	5.990	1.287
230	730.000	7.567	5.881	1.206
231	731.000	5.157	5.833	1.147
232	732.000	5.186	5.898	1.166
233	733.000	7.355	5.953	1.174
234	734.000	6.216	5.964	1.175
235	735.000	5.899	5.994	1.195
236	736.000	4.623	5.962	1.191
237	737.000	3.347	6.048	1.238
238	738.000	7.009	6.154	1.132
239	739.000	5.100	6.241	1.148
240	740.000	5.612	6.375	1.299
241	741.000	5.026	6.275	1.307
242	742.000	5.469	6.174	1.255
243	743.000	6.602	6.176	1.258
244	744.000	6.999	6.225	1.241
245	745.000	6.779	6.326	1.256
246	746.000	6.209	6.350	1.281
247	747.000	7.110	6.378	1.286
248	748.000	5.722	6.507	1.393
249	749.000	7.717	6.631	1.356
250	750.000	6.288	6.754	1.173
251	751.000	7.480	6.717	1.179
252	752.000	9.305	6.697	1.213
253	753.000	4.963	6.633	1.310
254	754.000	5.599	6.610	1.344
255	755.000	7.634	6.502	1.533
256	756.000	6.364	6.403	1.606
257	757.000	7.734	6.265	1.698
258	758.000	7.941	6.117	1.809
259	759.000	6.908	6.035	1.850
260	760.000	9.127	5.818	2.029
261	761.000	7.727	5.878	2.048
262	762.000	6.423	5.847	2.025
263	763.000	6.097	5.801	2.027
264	764.000	4.584	5.775	2.009
265	765.000	4.022	5.624	1.869
266	766.000	4.444	5.555	1.926
267	767.000	2.782	5.540	1.927
268	768.000	4.115	5.430	1.881
269	769.000	3.554	5.373	1.873
270	770.000	3.071	5.380	1.882
271	771.000	4.177	5.442	1.991
272	772.000	1.672	5.487	2.037
273	773.000	7.218	5.383	1.906
274	774.000	6.942	5.431	1.982
275	775.000	5.153	5.383	1.971
276	776.000	6.816	5.327	1.970
277	777.000	5.545	5.355	1.964
278	778.000	3.235	5.553	2.069
279	779.000	5.212	5.668	2.085
280	780.000	4.889	5.774	1.998
281	781.000	4.947	5.839	1.968
282	782.000	7.913	5.928	1.910
283	783.000	9.470	5.978	1.847
284	784.000	8.033	6.060	1.809
285	785.000	6.528	6.453	1.882
286	786.000	8.931	6.559	1.996
287	787.000	5.216	6.685	2.118
288	788.000	4.711	6.915	2.252
289	789.000	5.285	7.038	2.329
290	790.000	8.955	7.178	2.341
291	791.000	7.330	7.357	2.193
292	792.000	5.421	7.503	2.166
293	793.000	5.741	7.727	2.174
294	794.000	5.789	7.877	2.103
295	795.000	4.320	7.930	2.121
296	796.000	6.237	7.899	2.102
297	797.000	11.501	7.901	2.103
298	798.000	9.844	8.043	2.126
299	799.000	10.099	7.883	2.206
300	800.000	10.896	8.113	2.215
301	801.000	9.891	8.310	2.117
302	802.000	9.054	8.494	2.041
303	803.000	7.700	8.608	2.146
304	804.000	8.863	8.845	2.319
305	805.000	10.494	9.125	2.310
306	806.000	8.697	9.444	2.373
307	807.000	9.254	9.620	2.251
308	808.000	8.675	9.802	1.971
309	809.000	8.087	9.905	1.839
310	810.000	10.095	9.858	1.812
311	811.000	4.929	9.891	1.819
312	812.000	10.944	9.949	1.849
313	813.000	9.655	9.925	1.840
