,frame,y,x,trajectory
0,0.0,55.43182640234639,112.09145301664117,0.0
1,1.0,56.7497770529208,112.04119339952166,0.0
2,2.0,60.118639820343944,112.52214074418572,0.0
3,3.0,60.90504918751015,112.71487130021086,0.0
4,4.0,62.413756352499504,110.40542947488852,0.0
5,0.0,57.351228011108084,102.20985228254142,1.0
6,1.0,57.82724130849101,101.74251427083432,1.0
7,2.0,55.62769378002161,102.65547343707331,1.0
8,0.0,61.121696413661354,136.09735256452257,2.0
9,1.0,60.2887049705549,136.99223223244047,2.0
10,0.0,70.81555143402865,107.97192255235186,3.0
11,1.0,68.73158704864251,108.69635897200587,3.0
12,2.0,65.74039058860699,109.66023943482068,3.0
13,0.0,84.67390881469446,89.13029122156739,4.0
14,1.0,85.53020897293594,91.11739093714876,4.0
15,2.0,86.94074645607142,92.06726196635933,4.0
16,3.0,85.05565129033671,90.45345221073516,4.0
17,4.0,85.32097115719364,90.85991312829174,4.0
18,5.0,86.5186546230694,91.43910383685366,4.0
19,6.0,87.97987391768999,92.85031758211976,4.0
20,7.0,86.70867115509627,91.52440537649971,4.0
21,0.0,98.0769562500769,73.04418888900398,5.0
22,1.0,98.92468259284706,74.22850280947667,5.0
23,2.0,99.29910960074243,74.43585094971435,5.0
24,0.0,100.31835199183607,104.36308677458238,6.0
25,1.0,101.07420085243926,104.8567659750204,6.0
26,0.0,102.81462471467641,127.18290647167888,7.0
27,1.0,102.97062083728872,128.61373701222772,7.0
28,0.0,105.39714679690664,108.19783683755539,8.0
29,1.0,105.16933610915086,108.82323938978215,8.0
30,2.0,105.47906967056336,110.09395771807732,8.0
31,3.0,106.88473032384114,109.38878477470531,8.0
32,0.0,115.14950703244996,154.88002305402097,9.0
33,1.0,115.09436850825944,154.64550760406556,9.0
34,2.0,114.05781193941816,156.83815682890045,9.0
35,3.0,114.34190429698256,153.65090999174927,9.0
36,0.0,119.216286816907,189.52200805091834,10.0
37,1.0,118.49080661387808,189.63651361303056,10.0
38,0.0,120.7961839707562,88.70761703198022,11.0
39,1.0,123.48929635254052,86.85189334793911,11.0
40,2.0,124.46706402873943,86.20936205770526,11.0
41,3.0,125.01530193591127,86.7912200490115,11.0
42,4.0,122.79776344842917,87.89573680632999,11.0
43,5.0,120.8194074246674,87.06600585483311,11.0
44,6.0,121.9215353032187,86.10072892829072,11.0
45,0.0,133.35323594420308,139.0975059984151,12.0
46,1.0,132.04534491021985,138.8170804396019,12.0
47,2.0,130.64618150342616,137.82238556295098,12.0
48,3.0,132.51595077936685,139.41769886436745,12.0
49,4.0,133.42961924976325,140.43292026360655,12.0
50,5.0,134.16874857041458,140.70653133609756,12.0
51,6.0,134.79871389112253,141.1619407563295,12.0
52,7.0,133.36131032052333,140.11849495213312,12.0
53,0.0,155.72757217420292,98.06405497532086,13.0
54,1.0,155.52642031278046,97.4442449509134,13.0
55,2.0,155.73233196774456,97.5555142209178,13.0
56,3.0,154.37204580783157,97.59469500582573,13.0
57,4.0,154.1584143148376,97.2667613973129,13.0
58,5.0,152.5831239906037,97.33691199897656,13.0
59,6.0,152.0233019481813,97.21123382821057,13.0
60,7.0,150.16859675781464,95.95427559020561,13.0
61,8.0,152.2343720856007,97.19235108269318,13.0
62,9.0,152.60662869939085,96.41519374254496,13.0
63,0.0,166.17087685064297,151.25404826561743,14.0
64,1.0,167.04765925388398,151.07135355189826,14.0
65,0.0,187.00152822274657,150.08400719100732,15.0
66,1.0,185.2810262124285,151.35386435734065,15.0
67,2.0,188.17898158604282,152.01870783930923,15.0
68,3.0,187.91232089653485,153.52541098190642,15.0
69,4.0,186.07962901388856,152.54711704499422,15.0
70,5.0,186.71863661949047,152.22317482090006,15.0
71,0.0,198.8783139921539,152.685120346668,16.0
72,1.0,197.92728014323612,153.08128013472734,16.0
73,2.0,198.68312784820074,152.61729440019283,16.0
74,3.0,199.01926847506058,152.61058152875717,16.0
75,4.0,197.11759861046937,152.98912987809354,16.0
76,5.0,196.1325307962986,153.27708365273304,16.0
77,6.0,196.2032077852709,152.5237884492536,16.0
78,7.0,197.1067490352096,152.51513133641527,16.0
79,8.0,198.443386112027,152.7124980818572,16.0
80,9.0,198.81029728839474,152.81796273211194,16.0
81,10.0,197.5170135771367,152.85794778834972,16.0
82,0.0,235.40952617328648,94.91963048966674,17.0
83,1.0,237.38539634044005,93.85725163962148,17.0
84,2.0,237.97760218388984,93.6912052858529,17.0
85,3.0,236.8163645048313,94.29008449105166,17.0
86,4.0,236.7065756113362,94.26410197468162,17.0
87,0.0,10.093955852069426,88.69652177004237,18.0
88,1.0,12.010884074282853,90.00501781977168,18.0
89,0.0,17.323728183329887,88.98247780010513,19.0
90,1.0,17.929231679228415,88.419206602662,19.0
91,2.0,17.963783463574533,87.82642533847923,19.0
92,3.0,16.990463229575493,88.99910172174664,19.0
93,0.0,17.91778446551841,24.984126879167185,20.0
94,1.0,16.981308276853987,27.03748159709759,20.0
95,0.0,36.13957025656181,133.18499872872914,21.0
96,1.0,36.186371802193676,132.97130919197497,21.0
97,2.0,36.689228388664034,132.57149679841078,21.0
98,3.0,34.55810638866566,133.13514032047013,21.0
99,4.0,32.514791665033776,132.9832205929151,21.0
100,5.0,33.728707752669315,132.7751255786092,21.0
101,6.0,33.27678236649652,132.86946590476,21.0
102,0.0,42.60872447353429,123.66299871861557,22.0
103,1.0,39.34389963575009,120.8196290470309,22.0
104,2.0,37.28339501370183,119.67693526403123,22.0
105,0.0,235.06796410007345,119.93426707624923,23.0
106,1.0,236.0982451460841,119.76329697582382,23.0
107,2.0,236.4775218394223,119.03448700075987,23.0
108,3.0,235.48330175353914,119.86174982828763,23.0
109,4.0,237.3683450628951,118.78767266152735,23.0
110,0.0,59.75341038567667,84.36595992567793,24.0
111,1.0,60.88945735586241,85.82450406551054,24.0
112,2.0,60.49290724220973,85.4809058738458,24.0
113,3.0,60.55761331404537,85.76021700157499,24.0
114,4.0,60.768608476945744,85.77144287026294,24.0
115,5.0,59.84497881778136,84.16204782609391,24.0
116,6.0,59.427037683113355,84.19812832617882,24.0
117,0.0,108.72801497520918,94.58037200117923,25.0
118,1.0,109.69471840027514,95.16046698802619,25.0
119,0.0,124.64988868812505,80.76782648588801,26.0
120,1.0,123.64946831163496,80.19266228516086,26.0
121,2.0,123.45518537852605,79.43393853788346,26.0
122,0.0,125.22191453996032,134.20583065577222,27.0
123,1.0,126.13992271297579,134.0409559769329,27.0
124,0.0,142.90644024801819,136.05217887970073,28.0
125,1.0,146.04500795542896,135.70244590538914,28.0
126,0.0,159.34012124450726,140.4352182087601,29.0
127,1.0,160.36526957168007,140.92800031163594,29.0
128,2.0,159.15634065838546,140.48609654102992,29.0
129,3.0,161.51822965445325,141.03992948137656,29.0
130,4.0,162.36921072233935,142.35197681310663,29.0
131,5.0,162.55822698796305,141.5785525726678,29.0
132,0.0,176.58098428339724,164.57272930300445,30.0
133,1.0,177.74349469881955,164.69496737518983,30.0
134,2.0,178.4899830812605,164.20327748023135,30.0
135,0.0,183.0612909934178,153.9520505072356,31.0
136,1.0,183.0,153.0,31.0
137,2.0,182.7194203293824,153.2178736309078,31.0
138,0.0,35.952388140829505,100.87700822032119,32.0
139,1.0,36.0359171866677,101.00863525196064,32.0
140,2.0,35.89246489162818,100.77514323919168,32.0
141,0.0,40.98286785516129,131.31452380029754,33.0
142,1.0,44.19224885540406,131.3152230205264,33.0
143,0.0,85.22779588562778,46.86734187102063,34.0
144,1.0,85.34393027089428,47.21004401037715,34.0
145,2.0,85.47355831537062,46.42774574083386,34.0
146,3.0,82.51038488659783,47.67076520016086,34.0
147,4.0,81.48386654117155,47.93429606540589,34.0
148,5.0,81.87848046039221,47.85531854428077,34.0
