,frame,y,x,trajectory
0,0.0,25.968692400624096,26.072165845480498,0.0
1,1.0,27.01654329964613,26.543549881576027,0.0
2,2.0,26.337456873353734,26.924448001434676,0.0
3,3.0,27.8720250568232,26.986286855409336,0.0
4,4.0,28.600342910903027,27.239631747719013,0.0
5,5.0,27.599278755962494,27.19199829207456,0.0
6,6.0,26.831187021923203,25.494566677618558,0.0
7,0.0,51.936240947452504,30.098004566378947,1.0
8,1.0,52.48339725519849,30.72816943931199,1.0
9,2.0,52.0655201469642,32.70408852310691,1.0
10,0.0,162.1209658650264,141.11387729079019,2.0
11,1.0,163.0317328811699,141.53508030612738,2.0
12,0.0,147.64005024626883,95.6633203436144,3.0
13,1.0,146.67367175469334,94.06516398839535,3.0
14,2.0,145.0838010234437,93.35639703724407,3.0
15,3.0,145.45149823726257,93.45714377666482,3.0
16,0.0,165.30660230846598,106.48933118698807,4.0
17,1.0,167.0149696643011,106.01868784722869,4.0
18,2.0,165.7722552868924,106.04718669906498,4.0
19,0.0,222.677791277484,199.55550729985896,5.0
20,1.0,221.29838847168568,199.99054360450683,5.0
21,0.0,103.90409244373366,85.59367932587139,6.0
22,1.0,103.79419821010976,87.86778134147666,6.0
23,0.0,186.37396147033715,177.88219016660153,7.0
24,1.0,186.29256051929877,178.02450904633943,7.0
25,2.0,187.01282284858726,178.51976464100701,7.0
26,3.0,184.9001977481088,178.36667818916712,7.0
27,4.0,186.30457941349482,178.21769940769252,7.0
28,5.0,188.09369894873734,178.77971788903923,7.0
29,6.0,190.21437760512626,176.51977842893172,7.0
30,7.0,190.60236782308897,175.7560123809396,7.0
31,0.0,128.57279166932813,148.3493351893939,8.0
32,1.0,128.16881712555056,148.10877560893726,8.0
33,2.0,128.7426153528496,148.29811885296706,8.0
34,0.0,126.94029195175963,160.24152378127766,9.0
35,1.0,127.12390065681934,160.59204778561218,9.0
36,0.0,129.7294982650608,79.21412401487639,10.0
37,1.0,130.32118079420877,79.67269333262047,10.0
38,0.0,121.42008218139193,54.37107624352564,11.0
