,frame,y,x,trajectory
0,0.0,149.83773740158017,56.07245212754648,0.0
1,1.0,149.8369240265045,53.28853285515078,0.0
2,2.0,149.60363836980954,52.80873217937679,0.0
3,3.0,145.64713616467662,53.38464599094878,0.0
4,0.0,99.30384388535649,134.65834110782575,1.0
5,1.0,97.52701310203093,131.52682383854193,1.0
6,0.0,96.0,12.0,2.0
7,1.0,95.6172432366172,12.380602235972471,2.0
8,2.0,95.24234298763376,11.729012385529467,2.0
9,3.0,95.08622155691108,11.51696041005516,2.0
10,4.0,96.1471156010698,11.749806579477944,2.0
11,0.0,78.3382701843054,21.155618647086786,3.0
12,1.0,78.02563816367076,20.438588391856612,3.0
13,0.0,112.18403533887225,161.85969914378086,4.0
14,1.0,112.34376903981088,160.5095369296187,4.0
15,0.0,96.50423449810366,12.178848627191737,5.0
16,1.0,96.0,12.0,5.0
17,0.0,95.49386306173983,12.282212469885867,6.0
18,1.0,95.74391896580615,12.226195283931707,6.0
19,2.0,94.84363415506182,11.883274190902538,6.0
20,3.0,95.4397077447856,12.309491932495805,6.0
21,4.0,96.75054400047762,12.380711966191138,6.0
22,0.0,85.29162301859238,103.71369180898661,7.0
23,1.0,87.76973879344673,104.13312112104776,7.0
24,2.0,86.91091709691382,103.96895810086488,7.0
25,0.0,145.12376041126316,57.162883056776735,8.0
26,1.0,145.10504338335738,56.8973310490305,8.0
27,2.0,144.9579974787627,54.93325264146635,8.0
28,3.0,145.52845502279308,54.45696044147983,8.0
29,4.0,144.7828427714652,56.55572472497763,8.0
30,5.0,144.00083838304727,59.06481770037404,8.0
31,6.0,145.33768646809943,57.070875390433955,8.0
32,7.0,144.55013246460598,57.493693786642865,8.0
33,0.0,86.08749037074432,183.70736686193428,9.0
34,1.0,88.93690863788916,181.64260806461598,9.0
35,0.0,145.06667366103952,123.76727239831473,10.0
36,1.0,145.69806887473504,123.41353852718254,10.0
37,0.0,95.55000123383718,11.911901599252653,11.0
38,1.0,94.73155756128261,12.361582687288717,11.0
39,2.0,97.21133758076857,12.328622692532043,11.0
40,0.0,95.75836831017423,12.4894528598063,12.0
41,1.0,94.8571082542358,12.088851083874182,12.0
42,2.0,95.56472677922275,12.491173136460622,12.0
43,3.0,95.59652763330146,11.976154926040202,12.0
44,4.0,95.42688204060043,12.145510940026947,12.0
45,5.0,95.74326678006678,12.343315704957645,12.0
46,6.0,95.56826895720963,12.514945575131838,12.0
47,7.0,95.63284032861408,12.076437690184274,12.0
48,8.0,94.82168460290711,12.175760849858731,12.0
49,0.0,95.65313860977784,11.964692384312716,13.0
50,1.0,95.27991346520147,12.093861769598421,13.0
51,2.0,95.35057335182826,11.943994235643009,13.0
52,3.0,95.68494815676277,12.339430066685503,13.0
53,4.0,95.4124477448459,12.30136916176351,13.0
54,5.0,95.93030177603599,12.102484945646278,13.0
55,6.0,96.01018410926935,12.149129267454022,13.0
56,0.0,118.15864354612062,151.05072381961932,14.0
57,1.0,117.98098569752528,151.4445440296121,14.0
58,0.0,97.92772551851405,11.321583430473089,15.0
59,1.0,95.50382683295936,11.286582223574293,15.0
60,0.0,122.98662094578114,157.23763252219894,16.0
61,1.0,123.97205243242038,157.65331289733882,16.0
62,0.0,87.41191857321085,104.09621324152141,17.0
63,1.0,86.56302132114686,104.3709991462544,17.0
64,2.0,87.0,103.0,17.0
65,0.0,95.19536343942647,12.815237388186608,18.0
66,1.0,93.94857273316335,11.117535286709312,18.0
67,0.0,96.43612742280398,11.96752370095792,19.0
68,1.0,97.17307607039542,12.016389593813594,19.0
69,0.0,95.83018514264937,12.17005123295109,20.0
70,1.0,95.52697043669338,12.1100182012224,20.0
71,2.0,96.67964033972922,12.274323649149398,20.0
72,0.0,83.45992667844365,103.34214547359626,21.0
73,1.0,82.92527049549084,103.89081154656951,21.0
74,2.0,83.32322778558972,103.80897697444078,21.0
75,3.0,82.18206301328071,104.25508987579147,21.0
76,0.0,96.09906336092807,11.489702256384401,22.0
77,1.0,96.6803505232261,11.926606144638408,22.0
78,2.0,97.14789710543657,11.668959375841274,22.0
79,0.0,83.48958482149914,104.00722616321247,23.0
80,1.0,80.84649313317279,100.04687395082077,23.0
81,2.0,81.99278596544433,103.69246009596537,23.0
82,3.0,82.66098541939341,103.08259423016202,23.0
83,0.0,95.96375339226667,12.022077169111354,24.0
84,1.0,96.4248082097883,12.33483186149881,24.0
85,2.0,96.15700177192647,11.72437660991737,24.0
86,3.0,96.57642484132707,12.021326791024132,24.0
87,0.0,146.40566172821565,74.78829559264729,25.0
88,1.0,147.0,76.0,25.0
89,2.0,145.0271312473989,77.04642712049677,25.0
90,0.0,117.02496260838285,152.4465603671197,26.0
91,1.0,116.30871598571377,152.5240982826207,26.0
92,2.0,116.33315681069362,153.33791708325967,26.0
93,0.0,144.85778273463788,75.37837662165335,27.0
94,1.0,146.0,77.0,27.0
95,2.0,146.06319907372614,75.18126801650754,27.0
