,frame,y,x,trajectory
0,0.0,84.77633089646788,214.0124106472326,0.0
1,1.0,84.41388275755654,213.55829242083925,0.0
2,2.0,84.2987006648765,213.8126660436368,0.0
3,3.0,84.92861960322897,214.2114313650054,0.0
4,0.0,104.18004264671475,101.5810063069251,1.0
5,1.0,104.84218536257632,101.67393695275864,1.0
6,2.0,104.52844831350536,101.58077905672872,1.0
7,3.0,104.23453788026211,101.68285564222845,1.0
8,4.0,104.80066141450936,101.15855097351506,1.0
9,5.0,104.42675043611912,101.54423560222025,1.0
10,6.0,104.64539896400274,101.60730990952821,1.0
11,7.0,104.54185154467838,101.37227600577963,1.0
12,8.0,104.38233547457362,101.2472518526384,1.0
13,9.0,104.8957594528634,101.82498275797984,1.0
14,10.0,104.36316294741812,101.18121991328299,1.0
15,11.0,102.8182646096287,100.36775769371438,1.0
16,12.0,102.47138648885247,100.52065859792178,1.0
17,13.0,103.66959938781545,101.47342732285011,1.0
18,14.0,104.0825028353612,101.8150510765839,1.0
19,15.0,103.73565887442658,101.08410201999864,1.0
20,16.0,103.47275672510418,101.0495297250971,1.0
21,0.0,95.15869324228024,244.49534540651962,2.0
22,1.0,93.49900086177935,243.76273004871354,2.0
23,2.0,95.02241419751584,243.84194603516605,2.0
24,3.0,95.02294785483382,243.83172110348542,2.0
25,4.0,96.26550184929425,243.87880585136224,2.0
26,5.0,95.82560214408926,244.45734055328074,2.0
27,6.0,96.21492435738955,244.85088988811896,2.0
28,7.0,95.67237666429538,244.75775587878263,2.0
29,8.0,95.1832842639771,244.71597133310192,2.0
30,9.0,95.88380748663155,244.42310169750172,2.0
31,10.0,96.16590263806927,244.05945122086897,2.0
32,0.0,97.45378356156765,151.45022303955528,3.0
33,1.0,98.54719214058116,154.1099807100145,3.0
34,2.0,98.87404781929209,155.39403255994895,3.0
35,3.0,98.2733335044824,154.41586727624477,3.0
36,4.0,98.24067390010337,153.14754949727893,3.0
37,5.0,97.71708323423717,152.69802351660744,3.0
38,0.0,112.34846802029082,231.10937013073396,4.0
39,1.0,112.16967888535605,231.05113137091863,4.0
40,0.0,104.36379976609605,114.92725851135157,5.0
41,1.0,101.84565989854937,111.19900893075614,5.0
42,2.0,101.17953765484407,111.06112893567347,5.0
43,0.0,103.96520734604796,197.4513209847185,6.0
44,1.0,104.1187571156749,197.74761923472718,6.0
45,2.0,105.35161127366278,195.88258843874553,6.0
46,0.0,122.63486449183732,235.04530374387065,7.0
47,1.0,122.19710475264728,234.97133168206244,7.0
48,2.0,122.32919909545963,235.04452187584047,7.0
49,3.0,121.60983318556382,235.06651808057487,7.0
50,4.0,121.89756897505644,235.11360820526542,7.0
51,0.0,128.32012676479735,55.7934783764538,8.0
52,1.0,127.11932821895093,55.804009756787956,8.0
53,2.0,126.94688210814539,55.55265345901367,8.0
54,3.0,127.62352731978177,55.365359329903434,8.0
55,0.0,132.53652391740945,193.03373143966263,9.0
56,1.0,131.00716829022528,194.28221712862035,9.0
57,0.0,136.84640467399598,201.85770567633944,10.0
58,1.0,136.86820244819498,201.6591766123906,10.0
59,2.0,137.0504824265956,201.6377573164243,10.0
60,0.0,143.7464165797411,154.782362564743,11.0
61,1.0,144.0232870522812,154.40726706635402,11.0
62,2.0,143.8743069395777,153.9372504448049,11.0
63,3.0,143.8088100030789,153.47912940016622,11.0
64,4.0,142.49451839170746,157.5788967857593,11.0
65,5.0,143.54550214623538,158.00773291564275,11.0
66,6.0,143.77081458174214,158.79441302571246,11.0
67,7.0,144.5877761698494,157.838353871938,11.0
68,8.0,143.93470749408664,158.43910292089248,11.0
69,0.0,135.20406843435885,51.34461619841647,12.0
70,1.0,136.0720616410455,51.396290621177094,12.0
71,2.0,134.14195857184671,50.55903317023164,12.0
72,3.0,135.9850980822278,52.089759154214875,12.0
73,4.0,135.28320214508878,51.93014379727424,12.0
74,5.0,135.17732458874022,50.43938851646257,12.0
75,6.0,132.90858351060703,46.90756315613994,12.0
76,7.0,131.49389749171445,46.721375243501306,12.0
77,0.0,154.3714401947201,218.76391212156992,13.0
78,1.0,156.2512413712232,217.30571830620897,13.0
79,2.0,158.32027151203397,217.89602836384157,13.0
80,3.0,159.17485804526794,217.64348213511983,13.0
81,0.0,144.5777898323006,132.06595584184072,14.0
82,1.0,143.0337034169339,133.79856514958493,14.0
83,2.0,142.26282169071436,136.0804772583054,14.0
84,3.0,141.08153920881912,136.73265617659794,14.0
85,0.0,163.22079870673068,106.88841969200654,15.0
86,1.0,162.94494054475288,107.07443651217021,15.0
87,2.0,162.5249170680652,106.68966038774347,15.0
88,0.0,154.48952705582016,161.51303161089908,16.0
89,1.0,154.79053880000382,161.55156755593782,16.0
90,2.0,154.30972836909316,161.02222958409126,16.0
91,3.0,153.71687308909395,160.53679394867436,16.0
92,4.0,154.7271853138064,160.97984458434118,16.0
93,5.0,154.17166305287768,160.6500548781283,16.0
94,0.0,166.37839267088654,176.04920396917748,17.0
95,1.0,166.36002847150147,176.29512164985175,17.0
96,2.0,166.1930392279332,176.74645409229194,17.0
97,3.0,165.72136642776314,176.27309440194023,17.0
98,4.0,164.82682522114658,176.22921432300896,17.0
99,5.0,164.06939196518513,176.1187371699624,17.0
100,6.0,164.35254592222017,177.41088209999543,17.0
101,7.0,162.69545180687348,176.87571601686562,17.0
